 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 0.108261
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.144274
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.44 | Tmax = 0.124741
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = 0.121155
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.050 | alpha = 1.42 | Tmax = 0.083138
 HL = 1.000 | t1//t0 = 70.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.170966
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.07 | Tmax = 0.139462
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.22 | Tmax = 0.124351
 HL = 0.500 | t1//t0 = 110.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 0.123028
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.37 | Tmax = 0.169205
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.007 | alpha = 1.15 | Tmax = 0.081210
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.300 | alpha = 1.17 | Tmax = 0.200024
 HL = 0.500 | t1//t0 = 120.000 | l1//l0 = 0.700 | alpha = 1.05 | Tmax = 0.130644
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.06 | Tmax = 0.250200
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.003 | alpha = 1.08 | Tmax = 0.080039
 HL = 0.500 | t1//t0 = 30.000 | l1//l0 = 0.500 | alpha = 1.22 | Tmax = 0.130077
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.03 | Tmax = 0.473919
 HL = 22.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 3.443526
 HL = 1.000 | t1//t0 = 150.000 | l1//l0 = 1.000 | alpha = 1.03 | Tmax = 0.208423
 HL = 0.500 | t1//t0 = 170.000 | l1//l0 = 0.700 | alpha = 1.27 | Tmax = 0.123811
 HL = 1.000 | t1//t0 = 60.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.120257
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.300 | alpha = 1.07 | Tmax = 0.205325
 HL = 1.000 | t1//t0 = 50.000 | l1//l0 = 1.000 | alpha = 1.20 | Tmax = 0.158813
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.38 | Tmax = 0.083986
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.010 | alpha = 1.19 | Tmax = 0.081047
 HL = 1.000 | t1//t0 = 60.000 | l1//l0 = 1.000 | alpha = 1.22 | Tmax = 0.154220
