 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.007 | alpha = 1.07 | Tmax = 0.167618
 HL = 20.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.55 | Tmax = 3.668489
 HL = 30.000 | t1//t0 = 180.000 | l1//l0 = 0.005 | alpha = 1.04 | Tmax = Inf
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.275790
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.030 | alpha = 1.21 | Tmax = 0.100553
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.32 | Tmax = 0.488135
 HL = 20.000 | t1//t0 = 30.000 | l1//l0 = 1.000 | alpha = 1.32 | Tmax = Inf
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.003 | alpha = 1.13 | Tmax = 0.064085
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.08 | Tmax = 0.256658
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.061487
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.17 | Tmax = 0.134640
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.18 | Tmax = 0.075773
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.003 | alpha = 1.01 | Tmax = 0.062632
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.24 | Tmax = 0.119455
 HL = 2.000 | t1//t0 = 190.000 | l1//l0 = 0.030 | alpha = 1.34 | Tmax = Inf
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.14 | Tmax = 0.181088
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.005 | alpha = 1.02 | Tmax = 0.062857
 HL = 7.000 | t1//t0 = 120.000 | l1//l0 = 0.050 | alpha = 1.41 | Tmax = Inf
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.26 | Tmax = 0.067664
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.37 | Tmax = 0.438028
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.22 | Tmax = 0.124146
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.253523
 HL = 5.000 | t1//t0 = 17.000 | l1//l0 = 0.002 | alpha = 1.43 | Tmax = Inf
 HL = 20.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.14 | Tmax = Inf
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.16 | Tmax = 0.079681
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.42 | Tmax = 0.139496
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.26 | Tmax = 0.323659
 HL = 20.000 | t1//t0 = 130.000 | l1//l0 = 0.030 | alpha = 1.33 | Tmax = Inf
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.38 | Tmax = 0.163704
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.28 | Tmax = 0.199560
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.23 | Tmax = 0.151886
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.17 | Tmax = 0.297734
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.14 | Tmax = 0.127592
 HL = 10.000 | t1//t0 = 60.000 | l1//l0 = 0.070 | alpha = 1.04 | Tmax = Inf
